SMD_pid,SMD_origin,SMD_region,SMD_site,SMD_population
S8P3-2,nat,ANO,S8,S8P3
S8P3-3,nat,ANO,S8,S8P3
S8P3-4,nat,ANO,S8,S8P3
S8P3-5,nat,ANO,S8,S8P3
S8P3-6,nat,ANO,S8,S8P3
S8P3-7,nat,ANO,S8,S8P3
S8P3-8,nat,ANO,S8,S8P3
S8P3-9,nat,ANO,S8,S8P3
S8P3-10,nat,ANO,S8,S8P3
S9P1-1,nat,ANO,S9,S9P1
S9P1-2,nat,ANO,S9,S9P1
S9P1-3,nat,ANO,S9,S9P1
S9P1-4,nat,ANO,S9,S9P1
S9P1-5,nat,ANO,S9,S9P1
S9P1-6,nat,ANO,S9,S9P1
S9P1-7,nat,ANO,S9,S9P1
S9P1-8,nat,ANO,S9,S9P1
S9P1-9,nat,ANO,S9,S9P1
S9P1-10,nat,ANO,S9,S9P1
S9P2-1,nat,ANO,S9,S9P2
S9P2-2,nat,ANO,S9,S9P2
S9P2-3,nat,ANO,S9,S9P2
S9P2-4,nat,ANO,S9,S9P2
S9P2-5,nat,ANO,S9,S9P2
S9P2-6,nat,ANO,S9,S9P2
S9P2-7,nat,ANO,S9,S9P2
S9P2-8,nat,ANO,S9,S9P2
S9P2-9,nat,ANO,S9,S9P2
S9P2-10,nat,ANO,S9,S9P2
S9P3-1,nat,ANO,S9,S9P3
S9P3-2,nat,ANO,S9,S9P3
S9P3-3,nat,ANO,S9,S9P3
S9P3-4,nat,ANO,S9,S9P3
S9P3-5,nat,ANO,S9,S9P3
S9P3-6,nat,ANO,S9,S9P3
S9P3-7,nat,ANO,S9,S9P3
S9P3-8,nat,ANO,S9,S9P3
S9P3-9,nat,ANO,S9,S9P3
S9P3-10,nat,ANO,S9,S9P3
S10P1-1,nat,ANO,S10,S10P1
S10P1-2,nat,ANO,S10,S10P1
S10P1-3,nat,ANO,S10,S10P1
S10P1-4,nat,ANO,S10,S10P1
S10P1-5,nat,ANO,S10,S10P1
S10P1-6,nat,ANO,S10,S10P1
S10P1-7,nat,ANO,S10,S10P1
S10P1-8,nat,ANO,S10,S10P1
S10P1-9,nat,ANO,S10,S10P1
S10P1-10,nat,ANO,S10,S10P1
S10P2-1,nat,ANO,S10,S10P2
S10P2-2,nat,ANO,S10,S10P2
S10P2-3,nat,ANO,S10,S10P2
S10P2-4,nat,ANO,S10,S10P2
S10P2-5,nat,ANO,S10,S10P2
S10P2-6,nat,ANO,S10,S10P2
S10P2-7,nat,ANO,S10,S10P2
S10P2-8,nat,ANO,S10,S10P2
S10P2-9,nat,ANO,S10,S10P2
S10P2-10,nat,ANO,S10,S10P2
S10P3-1,nat,ANO,S10,S10P3
S10P3-2,nat,ANO,S10,S10P3
S10P3-3,nat,ANO,S10,S10P3
S10P3-4,nat,ANO,S10,S10P3
S10P3-5,nat,ANO,S10,S10P3
S10P3-6,nat,ANO,S10,S10P3
S10P3-7,nat,ANO,S10,S10P3
S10P3-8,nat,ANO,S10,S10P3
S10P3-9,nat,ANO,S10,S10P3
S10P3-10,nat,ANO,S10,S10P3
S11P1-1,nat,ANO,S11,S11P1
S11P1-2,nat,ANO,S11,S11P1
S11P1-3,nat,ANO,S11,S11P1
S11P1-4,nat,ANO,S11,S11P1
S11P1-5,nat,ANO,S11,S11P1
S11P1-6,nat,ANO,S11,S11P1
S11P1-7,nat,ANO,S11,S11P1
S11P1-8,nat,ANO,S11,S11P1
S11P1-9,nat,ANO,S11,S11P1
S11P1-10,nat,ANO,S11,S11P1
S11P2-1,nat,ANO,S11,S11P2
S11P2-2,nat,ANO,S11,S11P2
S11P2-3,nat,ANO,S11,S11P2
S11P2-4,nat,ANO,S11,S11P2
S11P2-5,nat,ANO,S11,S11P2
S11P2-6,nat,ANO,S11,S11P2
S11P2-7,nat,ANO,S11,S11P2
S11P2-8,nat,ANO,S11,S11P2
S11P2-9,nat,ANO,S11,S11P2
S11P2-10,nat,ANO,S11,S11P2
S11P3-1,nat,ANO,S11,S11P3
S11P3-2,nat,ANO,S11,S11P3
S11P3-3,nat,ANO,S11,S11P3
S11P3-4,nat,ANO,S11,S11P3
S11P3-5,nat,ANO,S11,S11P3
S11P3-6,nat,ANO,S11,S11P3
S11P3-7,nat,ANO,S11,S11P3
S11P3-8,nat,ANO,S11,S11P3
S11P3-9,nat,ANO,S11,S11P3
S11P3-10,nat,ANO,S11,S11P3
S12P1-1,nat,ASO,S12,S12P1
S12P1-2,nat,ASO,S12,S12P1
S12P1-3,nat,ASO,S12,S12P1
S12P1-4,nat,ASO,S12,S12P1
S12P1-5,nat,ASO,S12,S12P1
S12P1-6,nat,ASO,S12,S12P1
S12P1-7,nat,ASO,S12,S12P1
S12P1-8,nat,ASO,S12,S12P1
S12P1-9,nat,ASO,S12,S12P1
S12P1-10,nat,ASO,S12,S12P1
S12P2-1,nat,ASO,S12,S12P2
S12P2-2,nat,ASO,S12,S12P2
S12P2-3,nat,ASO,S12,S12P2
S12P2-4,nat,ASO,S12,S12P2
S12P2-5,nat,ASO,S12,S12P2
S12P2-6,nat,ASO,S12,S12P2
S12P2-7,nat,ASO,S12,S12P2
S12P2-8,nat,ASO,S12,S12P2
S12P2-9,nat,ASO,S12,S12P2
S12P2-10,nat,ASO,S12,S12P2
S12P3-1,nat,ASO,S12,S12P3
S12P3-2,nat,ASO,S12,S12P3
S12P3-3,nat,ASO,S12,S12P3
S12P3-4,nat,ASO,S12,S12P3
S12P3-5,nat,ASO,S12,S12P3
S12P3-6,nat,ASO,S12,S12P3
S12P3-7,nat,ASO,S12,S12P3
S12P3-8,nat,ASO,S12,S12P3
S12P3-9,nat,ASO,S12,S12P3
S12P3-10,nat,ASO,S12,S12P3
S13P1-1,nat,ASO,S13,S13P1
S13P1-2,nat,ASO,S13,S13P1
S13P1-3,nat,ASO,S13,S13P1
S13P1-4,nat,ASO,S13,S13P1
S13P1-5,nat,ASO,S13,S13P1
S13P1-6,nat,ASO,S13,S13P1
S13P1-7,nat,ASO,S13,S13P1
S13P1-8,nat,ASO,S13,S13P1
S13P1-9,nat,ASO,S13,S13P1
S13P1-10,nat,ASO,S13,S13P1
S13P2-1,nat,ASO,S13,S13P2
S13P2-2,nat,ASO,S13,S13P2
S13P2-3,nat,ASO,S13,S13P2
S13P2-4,nat,ASO,S13,S13P2
S13P2-5,nat,ASO,S13,S13P2
S13P2-6,nat,ASO,S13,S13P2
S13P2-7,nat,ASO,S13,S13P2
S13P2-8,nat,ASO,S13,S13P2
S13P2-9,nat,ASO,S13,S13P2
S13P2-10,nat,ASO,S13,S13P2
S13P3-1,nat,ASO,S13,S13P3
S13P3-2,nat,ASO,S13,S13P3
S13P3-3,nat,ASO,S13,S13P3
S13P3-4,nat,ASO,S13,S13P3
S13P3-5,nat,ASO,S13,S13P3
S13P3-6,nat,ASO,S13,S13P3
S13P3-7,nat,ASO,S13,S13P3
S13P3-8,nat,ASO,S13,S13P3
S13P3-9,nat,ASO,S13,S13P3
S13P3-10,nat,ASO,S13,S13P3
S14P1-1,nat,ASO,S14,S14P1
S14P1-2,nat,ASO,S14,S14P1
S14P1-3,nat,ASO,S14,S14P1
S14P1-4,nat,ASO,S14,S14P1
S14P1-5,nat,ASO,S14,S14P1
S14P1-6,nat,ASO,S14,S14P1
S14P1-7,nat,ASO,S14,S14P1
S14P1-8,nat,ASO,S14,S14P1
S14P1-9,nat,ASO,S14,S14P1
S14P1-10,nat,ASO,S14,S14P1
S14P2-1,nat,ASO,S14,S14P2
S14P2-2,nat,ASO,S14,S14P2
S14P2-3,nat,ASO,S14,S14P2
S14P2-4,nat,ASO,S14,S14P2
S14P2-5,nat,ASO,S14,S14P2
S14P2-6,nat,ASO,S14,S14P2
S14P2-7,nat,ASO,S14,S14P2
S14P2-8,nat,ASO,S14,S14P2
S14P2-9,nat,ASO,S14,S14P2
S14P2-10,nat,ASO,S14,S14P2
S14P3-1,nat,ASO,S14,S14P3
S14P3-2,nat,ASO,S14,S14P3
S14P3-3,nat,ASO,S14,S14P3
S14P3-4,nat,ASO,S14,S14P3
S14P3-5,nat,ASO,S14,S14P3
S14P3-6,nat,ASO,S14,S14P3
S14P3-7,nat,ASO,S14,S14P3
S14P3-8,nat,ASO,S14,S14P3
S14P3-9,nat,ASO,S14,S14P3
S14P3-10,nat,ASO,S14,S14P3
GD1P1-1,int,CGD,GD1,GD1P1
GD1P1-2,int,CGD,GD1,GD1P1
GD1P1-3,int,CGD,GD1,GD1P1
GD1P1-4,int,CGD,GD1,GD1P1
GD1P1-5,int,CGD,GD1,GD1P1
GD1P1-6,int,CGD,GD1,GD1P1
GD1P1-7,int,CGD,GD1,GD1P1
GD1P1-8,int,CGD,GD1,GD1P1
